,Player,Nation,Pos,Squad,Age,Born,Playing Time | MP,Playing Time | Starts,Playing Time | Min,Playing Time | 90s,Performance | Gls,Performance | Ast,Performance | G-PK,Performance | PK,Performance | PKatt,Performance | CrdY,Performance | CrdR,Per 90 Minutes | Gls,Per 90 Minutes | Ast,Per 90 Minutes | G+A,Per 90 Minutes | G-PK,Per 90 Minutes | G+A-PK,Expected | xG,Expected | npxG,Expected | xAG,Expected | npxG+xAG,Per 90 Minutes | xG,Per 90 Minutes | xAG,Per 90 Minutes | xG+xAG,Per 90 Minutes | npxG,Per 90 Minutes | npxG+xAG,Total | Cmp,Total | Att,Total | Cmp%,Total | TotDist,Total | PrgDist,Short | Cmp,Short | Att,Short | Cmp%,Medium | Cmp,Medium | Att,Medium | Cmp%,Long | Cmp,Long | Att,Long | Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Att,Pass Types | Live,Pass Types | Dead,Pass Types | FK,Pass Types | TB,Pass Types | Sw,Pass Types | Crs,Pass Types | TI,Pass Types | CK,Corner Kicks | In,Corner Kicks | Out,Corner Kicks | Str,Outcomes | Cmp,Outcomes | Off,Outcomes | Blocks,SCA | SCA,SCA | SCA90,SCA Types | PassLive,SCA Types | PassDead,SCA Types | Drib,SCA Types | Sh,SCA Types | Fld,SCA Types | Def,GCA | GCA,GCA | GCA90,GCA Types | PassLive,GCA Types | PassDead,GCA Types | Drib,GCA Types | Sh,GCA Types | Fld,GCA Types | Def,Tackles | Tkl,Tackles | TklW,Tackles | Def 3rd,Tackles | Mid 3rd,Tackles | Att 3rd,Vs Dribbles | Tkl,Vs Dribbles | Att,Vs Dribbles | Tkl%,Vs Dribbles | Past,Blocks | Blocks,Blocks | Sh,Blocks | Pass,Int,Tkl+Int,Clr,Err,Touches | Touches,Touches | Def Pen,Touches | Def 3rd,Touches | Mid 3rd,Touches | Att 3rd,Touches | Att Pen,Touches | Live,Dribbles | Succ,Dribbles | Att,Dribbles | Succ%,Dribbles | Mis,Dribbles | Dis,Receiving | Rec,Receiving | Prog,Playing Time | Mn/MP,Playing Time | Min%,Starts | Mn/Start,Starts | Compl,Subs | Subs,Subs | Mn/Sub,Subs | unSub,Team Success | PPM,Team Success | onG,Team Success | onGA,Team Success | +/-,Team Success | +/-90,Team Success | On-Off,Team Success (xG) | onxG,Team Success (xG) | onxGA,Team Success (xG) | xG+/-,Team Success (xG) | xG+/-90,Team Success (xG) | On-Off,Performance | 2CrdY,Performance | Fls,Performance | Fld,Performance | Off,Crs,TklW,Performance | PKwon,Performance | PKcon,Performance | OG,Performance | Recov,Aerial Duels | Won,Aerial Duels | Lost,Aerial Duels | Won%,Gls,Standard | Sh,Standard | SoT,Standard | SoT%,Standard | Sh/90,Standard | SoT/90,Standard | G/Sh,Standard | G/SoT,Standard | Dist,Standard | FK,Expected | npxG/Sh,Expected | G-xG,Expected | np:G-xG
0,Patrick van Aanholt,NED,DF,Crystal Palace,29,1990,22,20,1777,19.7,0,1,0,0,0,2,0,0.0,0.05,0.05,0.0,0.05,1.4,1.4,0.7,2.1,0.07,0.04,0.11,0.07,0.11,906,1164,77.8,13287,5990,545,613,88.9,284,361,78.7,51,105,48.6,1,0.7,1.7,0.3,11,71,20,4,89,1164,959,192,31,0,4,40,159,2,0,2,0,906,13,26,31,1.57,27,2,1,0,0,1,3,0.15,2,1,0,0,0,0,35,22,18,17,0,19,43,44.2,24,18,6,12,30,65,40,2,1334,61,413,607,325,37,1334,10,22,45.5,24,6,795,56,81,52.0,88.0,19,2,11.0,11,1.05,19,36,-17,-0.86,-0.42,17.1,30.9,-13.8,-0.7,-0.13,0,11,3,3,40,22,0,0,0,136,11,13,45.8,0,18,5,27.8,0.91,0.25,0.0,0.0,21.1,3,0.08,-1.4,-1.4
1,Tammy Abraham,ENG,FW,Chelsea,22,1997,22,12,1040,11.6,6,1,6,0,0,0,0,0.52,0.09,0.61,0.52,0.61,5.9,5.9,0.7,6.6,0.51,0.06,0.57,0.51,0.57,149,211,70.6,1714,297,85,111,76.6,33,46,71.7,4,8,50.0,1,0.7,0.2,0.3,9,14,1,0,9,211,195,16,2,0,0,6,0,0,0,0,0,149,0,9,17,1.47,9,0,2,4,2,0,2,0.17,1,0,0,0,1,0,7,5,3,3,1,1,7,14.3,6,6,0,6,5,12,17,0,355,20,35,169,153,60,355,6,18,33.3,33,7,233,68,47,30.4,74.0,7,10,15.0,8,1.77,23,12,11,0.95,0.54,20.0,8.2,11.8,1.02,0.25,0,22,12,4,6,5,1,0,0,28,38,28,57.6,6,32,13,40.6,2.77,1.13,0.19,0.46,10.7,0,0.18,0.1,0.1
2,Che Adams,SCO,FW,Southampton,24,1996,36,30,2667,29.6,9,5,9,0,0,1,0,0.3,0.17,0.47,0.3,0.47,9.8,9.8,5.0,14.8,0.33,0.17,0.5,0.33,0.5,431,622,69.3,6240,1416,228,308,74.0,125,162,77.2,34,49,69.4,5,5.0,3.0,0.0,37,35,23,1,53,622,615,2,1,7,3,6,1,0,0,0,0,431,5,19,67,2.26,49,0,2,7,9,0,7,0.24,6,0,0,0,1,0,25,16,4,15,6,6,17,35.3,11,20,2,18,4,29,19,1,912,24,97,396,433,94,912,28,50,56.0,88,44,704,139,74,78.0,84.0,16,6,25.0,0,1.11,39,51,-12,-0.4,0.67,32.1,37.4,-5.3,-0.18,0.6,0,30,55,19,6,16,0,0,0,84,53,133,28.5,9,55,31,56.4,1.86,1.05,0.16,0.29,13.8,0,0.18,-0.8,-0.8
3,Tosin Adarabioyo,ENG,DF,Fulham,22,1997,33,33,2953,32.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.3,1.4,0.03,0.01,0.04,0.03,0.04,1647,1918,85.9,33255,12649,484,551,87.8,949,1008,94.1,196,318,61.6,0,0.3,0.4,-0.3,5,71,5,0,61,1918,1872,42,35,0,8,2,7,0,0,0,0,1647,4,11,19,0.58,17,0,0,0,0,2,1,0.03,1,0,0,0,0,0,37,19,30,6,1,19,40,47.5,21,26,20,6,42,79,197,2,2271,397,1308,901,66,34,2271,11,14,78.6,12,5,1516,2,89,86.3,89.0,32,0,0.0,1,0.85,24,41,-17,-0.52,1.22,35.8,46.2,-10.4,-0.32,0.01,0,16,6,2,2,19,0,1,1,143,82,38,68.3,0,18,5,27.8,0.55,0.15,0.0,0.0,10.5,0,0.06,-1.1,-1.1
5,Sergio Aguero,ARG,FW,Manchester City,32,1988,12,7,559,6.2,4,1,3,1,2,0,0,0.64,0.16,0.81,0.48,0.64,3.5,1.9,1.2,3.1,0.56,0.19,0.75,0.31,0.5,140,173,80.9,1625,219,86,99,86.9,34,38,89.5,2,2,100.0,1,1.2,0.9,-0.2,7,12,5,1,9,173,163,10,0,0,0,1,1,0,0,0,0,140,0,7,17,2.74,12,0,3,1,0,1,3,0.48,2,0,1,0,0,0,4,1,0,2,2,2,11,18.2,9,2,0,2,2,6,0,0,232,0,5,100,128,44,230,8,13,61.5,15,11,189,42,47,16.3,69.0,2,5,16.0,7,2.42,11,4,7,1.13,-0.26,10.9,4.5,6.4,1.03,0.04,0,2,7,1,1,1,0,0,0,12,2,4,33.3,4,17,10,58.8,2.74,1.61,0.18,0.3,14.6,0,0.11,0.5,1.1
6,Ola Aina,NGA,DF,Fulham,23,1996,31,31,2664,29.6,2,1,2,0,0,3,0,0.07,0.03,0.1,0.07,0.1,1.2,1.2,1.5,2.8,0.04,0.05,0.09,0.04,0.09,1352,1769,76.4,22797,9159,642,717,89.5,565,704,80.3,112,257,43.6,1,1.5,1.2,-0.5,15,92,15,9,73,1769,1486,282,28,0,13,52,254,0,0,0,0,1352,1,34,26,0.88,22,3,0,0,1,0,4,0.14,4,0,0,0,0,0,37,20,22,7,8,21,43,48.8,22,22,6,16,45,82,94,2,2028,105,773,949,326,18,2028,21,33,63.6,27,10,1251,25,86,77.9,86.0,24,0,0.0,4,0.84,22,36,-14,-0.47,0.96,30.4,42.0,-11.6,-0.39,-0.33,0,32,25,2,52,20,0,0,0,147,31,36,46.3,2,14,4,28.6,0.47,0.14,0.14,0.5,24.6,1,0.09,0.8,0.8
7,Rayan Ait Nouri,FRA,DF,Wolves,19,2001,21,16,1404,15.6,1,1,1,0,0,1,0,0.06,0.06,0.13,0.06,0.13,0.6,0.6,0.6,1.2,0.04,0.04,0.08,0.04,0.08,662,805,82.2,9828,2664,362,392,92.3,248,296,83.8,25,57,43.9,1,0.6,0.8,0.4,14,35,16,6,34,805,675,129,6,0,3,61,116,7,1,6,0,662,1,20,32,2.05,21,4,6,0,1,0,1,0.06,1,0,0,0,0,0,29,16,18,10,1,13,27,48.1,14,14,1,13,15,44,25,0,979,41,263,428,300,25,979,26,54,48.1,30,19,618,33,67,41.1,83.0,10,5,15.0,8,1.0,16,23,-7,-0.45,-0.05,15.1,18.5,-3.5,-0.22,0.2,0,15,19,1,61,16,0,1,0,86,5,23,17.9,1,15,6,40.0,0.96,0.38,0.07,0.17,19.8,0,0.04,0.4,0.4
8,Semi Ajayi,NGA,DF,West Brom,26,1993,33,31,2780,30.9,2,0,2,0,0,3,1,0.06,0.0,0.06,0.06,0.06,1.9,1.9,0.5,2.4,0.06,0.02,0.08,0.06,0.08,719,999,72.0,13941,6401,264,316,83.5,374,460,81.3,76,188,40.4,0,0.5,0.3,-0.5,7,68,4,0,56,999,931,61,13,0,10,7,48,0,0,0,0,719,7,7,17,0.55,12,0,1,0,0,4,3,0.1,2,0,0,0,0,1,40,14,34,6,0,23,41,56.1,18,51,32,19,42,82,122,2,1318,221,690,555,84,42,1318,10,18,55.6,24,5,649,5,84,81.3,88.0,30,2,26.0,4,0.64,31,71,-40,-1.29,-1.15,26.1,58.7,-32.6,-1.06,-1.13,0,28,4,1,7,14,0,2,0,161,74,54,57.8,2,13,4,30.8,0.42,0.13,0.15,0.5,9.8,0,0.15,0.1,0.1
9,Nathan Ake,NED,DF,Manchester City,25,1995,10,9,797,8.9,1,0,1,0,0,4,0,0.11,0.0,0.11,0.11,0.11,0.3,0.3,0.0,0.3,0.03,0.0,0.03,0.03,0.03,709,763,92.9,11178,3225,348,363,95.9,319,336,94.9,26,35,74.3,0,0.0,0.2,0.0,1,55,2,0,34,763,741,22,11,0,0,1,11,0,0,0,0,709,0,5,5,0.56,4,0,0,0,1,0,1,0.11,1,0,0,0,0,0,10,5,3,6,1,3,4,75.0,1,2,1,1,9,19,23,0,817,39,181,569,67,6,817,0,1,0.0,2,1,656,4,80,23.3,86.0,8,1,20.0,7,1.7,16,13,3,0.34,-1.31,15.6,9.4,6.2,0.7,-0.39,0,8,4,0,1,5,0,1,0,30,24,17,58.5,1,3,1,33.3,0.34,0.11,0.33,1.0,15.5,0,0.09,0.7,0.7
10,Marc Albrighton,ENG,"DF,FW",Leicester City,30,1989,31,17,1746,19.4,1,5,1,0,0,2,0,0.05,0.26,0.31,0.05,0.31,1.2,1.2,3.5,4.7,0.06,0.18,0.24,0.06,0.24,627,933,67.2,10197,3898,345,408,84.6,193,262,73.7,67,157,42.7,5,3.5,3.9,1.5,38,54,37,14,70,933,830,97,8,1,9,118,60,29,6,15,0,627,6,53,77,3.97,59,5,5,2,3,3,12,0.62,8,2,0,1,0,1,33,19,14,15,4,16,45,35.6,29,29,3,26,17,50,27,1,1151,37,244,459,469,39,1151,37,66,56.1,33,29,721,68,56,51.1,80.0,9,14,27.0,7,1.9,36,22,14,0.72,0.51,30.5,24.1,6.4,0.33,0.15,0,9,19,4,118,19,0,0,0,138,10,36,21.7,1,21,9,42.9,1.08,0.46,0.05,0.11,21.2,0,0.06,-0.2,-0.2
11,Thiago Alcantara,ESP,MF,Liverpool,29,1991,24,20,1854,20.6,1,0,1,0,0,4,0,0.05,0.0,0.05,0.05,0.05,1.2,1.2,2.3,3.5,0.06,0.11,0.17,0.06,0.17,1545,1735,89.0,26781,7746,704,746,94.4,597,658,90.7,177,221,80.1,0,2.3,2.2,-2.3,30,205,24,0,153,1735,1686,44,30,3,19,7,3,0,0,0,0,1545,5,12,79,3.83,66,2,2,3,3,3,3,0.15,2,0,0,1,0,0,61,36,20,30,11,17,49,34.7,32,26,0,26,30,91,14,0,1930,31,294,1216,434,16,1930,33,48,68.8,23,18,1466,24,77,54.2,85.0,13,4,40.0,1,1.71,34,18,16,0.78,0.2,38.5,22.2,16.4,0.79,0.32,0,48,25,0,7,36,0,1,0,153,31,31,50.0,1,22,5,22.7,1.07,0.24,0.05,0.2,23.3,1,0.06,-0.2,-0.2
12,Toby Alderweireld,BEL,DF,Tottenham,31,1989,25,25,2240,24.9,1,0,1,0,0,2,0,0.04,0.0,0.04,0.04,0.04,0.7,0.7,0.7,1.4,0.03,0.03,0.06,0.03,0.06,1199,1453,82.5,24372,8024,365,398,91.7,658,713,92.3,157,303,51.8,0,0.7,0.8,-0.7,8,64,5,1,45,1453,1377,74,61,2,16,1,13,0,0,0,0,1199,2,9,22,0.88,18,0,0,3,0,1,3,0.12,3,0,0,0,0,0,35,22,22,11,2,18,30,60.0,12,40,28,12,10,45,121,0,1683,267,930,725,36,14,1683,4,4,100.0,2,2,1115,1,90,65.5,90.0,24,0,0.0,10,1.8,44,25,19,0.76,0.46,33.9,29.4,4.5,0.18,0.23,0,17,3,0,1,22,0,1,1,117,45,35,56.3,1,10,3,30.0,0.4,0.12,0.1,0.33,8.5,0,0.07,0.3,0.3
14,Trent Alexander-Arnold,ENG,DF,Liverpool,21,1998,36,34,3031,33.7,2,7,2,0,0,2,0,0.06,0.21,0.27,0.06,0.27,2.6,2.6,8.6,11.2,0.08,0.26,0.33,0.08,0.33,2245,3015,74.5,40719,15754,1064,1184,89.9,897,1145,78.3,256,545,47.0,7,8.6,7.5,-1.6,77,193,101,29,215,3015,2516,488,56,6,55,297,326,106,16,61,2,2245,11,52,126,3.74,81,32,6,7,0,0,12,0.36,7,2,1,2,0,0,56,33,31,18,7,36,56,64.3,20,24,3,21,49,105,50,3,3280,72,690,1492,1130,80,3280,32,61,52.5,31,22,2196,119,84,88.6,88.0,30,2,19.0,0,1.81,60,40,20,0.59,-0.79,61.2,37.5,23.8,0.71,0.53,0,21,9,5,297,33,0,1,0,258,8,23,25.8,2,55,12,21.8,1.63,0.36,0.04,0.17,24.9,18,0.05,-0.6,-0.6
15,Ezgjan Alioski,MKD,"DF,MF",Leeds United,28,1992,36,29,2461,27.3,2,3,2,0,0,7,0,0.07,0.11,0.18,0.07,0.18,1.6,1.6,3.3,4.9,0.06,0.12,0.18,0.06,0.18,1321,1670,79.1,20073,7163,703,788,89.2,521,619,84.2,58,147,39.5,3,3.3,2.3,-0.3,28,87,29,12,93,1670,1410,255,29,1,7,62,226,0,0,0,0,1321,5,44,73,2.67,56,5,0,5,3,4,5,0.18,3,1,0,1,0,0,74,31,38,28,8,32,74,43.2,42,17,2,15,23,97,50,2,1921,74,554,895,492,40,1921,11,26,42.3,37,15,1190,63,68,72.0,79.0,19,7,22.0,2,1.64,47,35,12,0.44,0.81,45.0,41.3,3.7,0.13,0.69,0,39,44,6,62,31,0,2,0,146,39,44,47.0,2,25,8,32.0,0.91,0.29,0.08,0.25,19.0,0,0.06,0.4,0.4
17,Allan,BRA,MF,Everton,29,1991,24,23,2051,22.8,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.8,1.1,0.01,0.03,0.05,0.01,0.05,908,1068,85.0,14950,4372,430,468,91.9,354,405,87.4,82,116,70.7,0,0.8,0.8,-0.8,17,88,16,1,68,1068,1029,35,22,1,4,4,5,0,0,0,0,908,4,18,39,1.71,33,1,4,1,0,0,2,0.09,2,0,0,0,0,0,80,45,39,37,4,28,95,29.5,67,31,12,19,19,99,25,1,1304,68,384,811,134,3,1304,31,49,63.3,21,18,828,15,85,60.0,88.0,21,1,33.0,2,1.54,27,30,-3,-0.13,-0.26,29.5,30.1,-0.6,-0.03,0.23,0,37,30,0,4,45,0,0,0,187,4,11,26.7,0,7,2,28.6,0.31,0.09,0.0,0.0,22.4,0,0.04,-0.3,-0.3
18,Dele Alli,ENG,MF,Tottenham,24,1996,15,7,620,6.9,0,1,0,0,0,0,0,0.0,0.15,0.15,0.0,0.15,2.0,2.0,1.2,3.3,0.3,0.18,0.47,0.3,0.47,275,345,79.7,3878,882,151,177,85.3,99,109,90.8,9,20,45.0,1,1.2,0.9,-0.2,9,15,7,1,23,345,316,27,8,1,1,10,3,0,0,0,0,275,2,12,21,3.05,18,0,0,1,1,1,0,0.0,0,0,0,0,0,0,18,11,8,6,4,7,19,36.8,12,9,0,9,7,25,3,0,441,7,63,240,145,23,441,11,25,44.0,13,16,297,26,41,18.1,70.0,1,8,16.0,8,1.33,11,9,2,0.29,-0.38,11.0,8.8,2.1,0.31,0.25,0,10,12,1,10,11,0,0,0,50,8,11,42.1,0,12,4,33.3,1.74,0.58,0.0,0.0,15.4,0,0.17,-2.0,-2.0
19,Miguel Almiron,PAR,"MF,FW",Newcastle Utd,26,1994,34,28,2429,27.0,4,1,4,0,0,3,0,0.15,0.04,0.19,0.15,0.19,3.2,3.2,2.9,6.1,0.12,0.11,0.23,0.12,0.23,708,895,79.1,10715,2430,369,422,87.4,245,289,84.8,51,92,55.4,1,2.9,2.2,-1.9,31,64,23,7,58,895,866,26,6,3,5,39,3,5,0,0,0,708,3,33,77,2.86,53,3,8,4,5,4,6,0.22,4,0,0,1,0,1,49,29,21,25,3,14,56,25.0,42,23,4,19,25,74,20,1,1176,33,229,553,425,40,1176,39,73,53.4,48,34,788,88,71,71.0,82.0,12,6,20.0,2,1.18,30,48,-18,-0.67,-0.85,29.1,40.8,-11.7,-0.43,-0.14,0,18,39,6,39,29,0,0,0,163,8,17,32.0,4,33,14,42.4,1.22,0.52,0.12,0.29,19.2,1,0.1,0.8,0.8
20,Marcos Alonso,ESP,DF,Chelsea,29,1990,13,11,960,10.7,2,0,2,0,0,2,0,0.19,0.0,0.19,0.19,0.19,1.8,1.8,1.3,3.2,0.17,0.13,0.3,0.17,0.3,493,610,80.8,7494,2506,278,306,90.8,184,221,83.3,24,49,49.0,0,1.3,1.0,-1.3,15,29,8,1,36,610,517,90,11,0,3,24,75,4,0,4,0,493,3,21,38,3.56,29,2,0,5,0,2,3,0.28,2,0,0,1,0,0,13,3,6,4,3,7,14,50.0,7,12,1,11,12,25,30,0,719,33,198,296,233,37,719,9,17,52.9,13,9,449,36,74,28.1,84.0,9,2,20.0,9,2.08,15,13,2,0.19,-0.54,15.5,9.8,5.7,0.53,-0.43,0,13,12,2,24,3,0,0,0,59,23,15,60.5,2,22,9,40.9,2.06,0.84,0.09,0.22,17.6,5,0.08,0.2,0.2
21,Steven Alzate,COL,MF,Brighton,21,1998,15,10,896,10.0,1,0,1,0,0,2,0,0.1,0.0,0.1,0.1,0.1,0.8,0.8,0.6,1.4,0.08,0.06,0.14,0.08,0.14,403,449,89.8,6190,1326,216,235,91.9,142,150,94.7,30,35,85.7,0,0.6,0.3,-0.6,11,37,6,1,23,449,438,11,1,0,1,3,9,0,0,0,0,403,0,5,24,2.41,19,0,1,3,0,1,1,0.1,1,0,0,0,0,0,17,8,10,4,3,6,15,40.0,9,8,1,7,8,25,10,0,532,17,105,306,127,12,532,8,16,50.0,13,9,391,10,60,26.2,76.0,4,5,28.0,20,0.93,10,17,-7,-0.7,-0.74,11.3,11.2,0.1,0.01,-0.55,0,20,6,1,3,8,0,0,0,46,7,12,36.8,1,7,2,28.6,0.7,0.2,0.14,0.5,18.7,0,0.12,0.2,0.2
22,Daniel Amartey,GHA,DF,Leicester City,25,1994,12,8,722,8.0,1,0,1,0,0,3,0,0.12,0.0,0.12,0.12,0.12,0.4,0.4,0.0,0.4,0.05,0.0,0.05,0.05,0.05,414,493,84.0,7047,2296,178,195,91.3,203,233,87.1,26,43,60.5,0,0.0,0.1,0.0,0,15,2,0,19,493,453,38,2,0,0,1,36,0,0,0,0,414,2,8,5,0.62,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,11,7,6,4,1,8,12,66.7,4,8,4,4,12,23,26,0,569,61,286,254,32,5,569,1,3,33.3,5,3,345,0,60,21.1,80.0,6,4,21.0,14,1.54,13,14,-1,-0.12,-0.76,9.9,9.1,0.7,0.09,-0.21,0,3,1,0,1,7,0,0,0,60,19,16,54.3,1,3,1,33.3,0.37,0.12,0.33,1.0,10.6,0,0.12,0.6,0.6
23,Ethan Ampadu,WAL,"DF,MF",Sheffield Utd,19,2000,25,23,2089,23.2,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.2,1.5,0.01,0.05,0.07,0.01,0.07,870,1087,80.0,15679,5535,370,424,87.3,378,446,84.8,102,158,64.6,0,1.2,1.1,-1.2,11,76,14,2,75,1087,1002,83,18,0,15,19,60,5,5,0,0,870,2,14,21,0.91,17,2,0,0,1,1,1,0.04,0,0,0,0,0,1,57,36,31,24,2,20,46,43.5,26,40,19,21,49,106,87,3,1368,139,519,665,199,6,1368,13,15,86.7,16,5,761,10,84,61.1,86.0,19,2,53.0,4,0.52,12,41,-29,-1.25,-0.3,20.1,39.1,-19.0,-0.82,-0.1,0,25,25,1,19,36,0,1,1,114,52,29,64.2,0,7,2,28.6,0.3,0.09,0.0,0.0,19.3,0,0.05,-0.3,-0.3
24,Joachim Andersen,DEN,DF,Fulham,24,1996,31,30,2730,30.3,1,1,1,0,0,7,1,0.03,0.03,0.07,0.03,0.07,1.2,1.2,0.4,1.7,0.04,0.01,0.05,0.04,0.05,1609,1993,80.7,34882,12785,427,491,87.0,912,1007,90.6,252,442,57.0,1,0.4,0.9,0.6,8,130,6,1,74,1993,1902,83,68,0,35,12,15,0,0,0,0,1609,8,13,30,0.99,28,0,0,1,1,0,3,0.1,3,0,0,0,0,0,33,19,18,11,4,15,28,53.6,13,24,13,11,44,77,151,1,2275,309,1259,945,89,24,2275,9,11,81.8,10,3,1452,3,88,79.8,89.0,29,1,59.0,0,0.87,22,35,-13,-0.43,1.27,33.4,39.9,-6.5,-0.21,0.52,0,39,15,1,12,19,0,2,0,172,98,44,69.0,1,13,3,23.1,0.43,0.1,0.08,0.33,16.4,1,0.09,-0.2,-0.2
25,Elliot Anderson,SCO,MF,Newcastle Utd,17,2002,1,0,4,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,100.0,13,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,2,0,0,0.0,0,0,1,1,4,0.1,0.0,0,1,4.0,8,0.0,0,0,0,0.0,0.42,0.0,0.2,-0.2,-3.66,-3.27,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
26,Felipe Anderson,BRA,"FW,MF",West Ham,27,1993,2,0,3,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,60.0,45,23,1,2,50.0,2,3,66.7,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,1,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0,7,0,0,4,3,1,7,0,0,0.0,0,0,6,0,2,0.1,0.0,0,2,2.0,2,0.0,0,0,0,0.0,-0.4,0.0,0.2,-0.1,-4.35,-4.53,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
27,Michail Antonio,JAM,FW,West Ham,30,1990,26,24,1974,21.9,10,5,10,0,0,3,0,0.46,0.23,0.68,0.46,0.68,12.9,12.9,3.0,16.0,0.59,0.14,0.73,0.59,0.73,316,494,64.0,4273,796,192,266,72.2,78,122,63.9,18,30,60.0,5,3.0,1.8,2.0,27,24,13,2,25,494,481,11,1,0,3,31,8,0,0,0,0,316,2,20,74,3.37,40,1,10,8,15,0,11,0.5,5,1,0,2,3,0,7,4,1,5,1,1,7,14.3,6,20,3,17,7,14,7,0,771,11,35,294,452,117,771,43,87,49.4,78,49,629,137,76,57.7,80.0,12,2,23.0,0,1.85,37,25,12,0.55,0.36,38.5,23.2,15.3,0.7,1.23,0,29,40,15,31,4,1,0,0,51,71,88,44.7,10,63,22,34.9,2.87,1.0,0.16,0.45,13.4,0,0.22,-2.9,-2.9
29,Stuart Armstrong,SCO,MF,Southampton,28,1992,33,32,2764,30.7,4,5,4,0,0,3,0,0.13,0.16,0.29,0.13,0.29,2.7,2.7,2.6,5.3,0.09,0.08,0.17,0.09,0.17,1021,1298,78.7,15050,4362,563,653,86.2,360,420,85.7,51,78,65.4,5,2.6,1.8,2.4,35,80,40,7,111,1298,1203,89,14,2,4,40,16,2,0,0,0,1021,6,52,91,2.96,63,3,7,6,8,4,15,0.49,7,0,2,3,2,1,60,41,19,32,9,27,75,36.0,48,26,1,25,24,84,19,0,1656,38,234,935,511,52,1656,68,106,64.2,77,68,1116,93,84,80.8,86.0,21,1,13.0,1,1.24,39,56,-17,-0.55,0.0,32.8,44.2,-11.4,-0.37,-0.31,0,34,35,4,40,41,0,0,0,175,8,17,32.0,4,55,11,20.0,1.79,0.36,0.07,0.36,21.6,0,0.05,1.3,1.3
31,Pierre-Emerick Aubameyang,GAB,FW,Arsenal,31,1989,29,26,2332,25.9,10,3,8,2,2,2,0,0.39,0.12,0.5,0.31,0.42,10.2,8.6,2.4,11.0,0.39,0.09,0.48,0.33,0.42,499,674,74.0,6849,1367,319,380,83.9,137,197,69.5,24,38,63.2,3,2.4,3.0,0.6,22,29,22,4,53,674,651,14,0,1,3,38,3,0,0,0,0,499,9,12,48,1.85,40,0,3,2,3,0,7,0.27,6,0,1,0,0,0,12,8,7,4,1,3,20,15.0,17,18,0,18,7,19,17,0,889,19,114,343,440,121,887,12,25,48.0,39,19,694,149,80,68.2,87.0,19,3,23.0,3,1.52,34,26,8,0.31,-0.35,33.2,29.3,3.9,0.15,-0.25,0,13,18,17,38,8,0,0,1,65,34,58,37.0,10,55,19,34.5,2.12,0.73,0.15,0.42,14.0,0,0.16,-0.2,-0.6
32,Serge Aurier,CIV,DF,Tottenham,27,1992,19,19,1605,17.8,2,3,2,0,0,0,0,0.11,0.17,0.28,0.11,0.28,1.1,1.1,3.4,4.5,0.06,0.19,0.25,0.06,0.25,772,980,78.8,10940,4251,449,499,90.0,255,333,76.6,33,59,55.9,3,3.4,1.9,-0.4,18,31,18,9,48,980,823,157,4,1,1,35,153,0,0,0,0,772,0,32,41,2.3,26,1,4,4,1,5,6,0.34,3,1,1,0,0,1,55,33,33,17,5,15,40,37.5,25,28,5,23,19,74,44,3,1198,78,414,541,257,24,1198,17,32,53.1,29,13,674,42,84,46.9,84.0,15,0,0.0,6,1.53,35,22,13,0.73,0.23,22.4,23.8,-1.4,-0.08,-0.34,0,23,15,1,35,33,0,1,0,111,36,40,47.4,2,15,6,40.0,0.84,0.34,0.13,0.33,17.5,0,0.07,0.9,0.9
