,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
0,2019-08-11,14:00 (15:00),Matchweek 1,Sun,Away,D,0,0,Leicester City,31,481,69,213,192,81,14,481,12,20,60.0,25,12,227,12,Match Report
1,2019-08-19,20:00 (21:00),Matchweek 2,Mon,Home,D,1,1,Manchester Utd,35,487,50,175,217,99,19,487,9,21,42.9,15,11,275,22,Match Report
2,2019-08-25,16:30 (17:30),Matchweek 3,Sun,Home,D,1,1,Burnley,65,736,58,207,347,188,26,735,8,14,57.1,10,6,498,37,Match Report
3,2019-09-01,14:00 (15:00),Matchweek 4,Sun,Away,L,2,3,Everton,42,484,61,181,215,90,18,484,13,21,61.9,18,16,234,11,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Home,L,2,5,Chelsea,46,606,52,154,294,164,15,606,13,19,68.4,15,14,382,20,Match Report
5,2019-09-22,14:00 (15:00),Matchweek 6,Sun,Away,D,1,1,Crystal Palace,49,623,69,205,288,134,17,623,7,18,38.9,11,13,373,28,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,W,2,0,Watford,39,552,66,207,266,87,13,552,8,14,57.1,9,9,325,28,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Away,W,2,0,Manchester City,25,385,92,219,126,47,8,385,10,19,52.6,12,5,161,7,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,D,1,1,Southampton,57,649,53,209,331,114,10,648,13,17,76.5,18,5,420,32,Match Report
9,2019-10-27,14:00 (16:00),Matchweek 10,Sun,Away,D,1,1,Newcastle Utd,56,690,47,156,377,162,26,690,11,16,68.8,13,8,481,37,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Away,D,1,1,Arsenal,43,580,69,187,221,178,32,580,11,19,57.9,11,8,343,37,Match Report
11,2019-11-10,14:00 (16:00),Matchweek 12,Sun,Home,W,2,1,Aston Villa,50,555,61,190,231,142,32,555,21,32,65.6,12,9,329,33,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Away,W,2,1,Bournemouth,53,658,54,165,349,148,25,658,7,11,63.6,12,5,458,24,Match Report
13,2019-12-01,14:00 (16:00),Matchweek 14,Sun,Home,D,1,1,Sheffield Utd,59,673,49,189,333,156,27,673,16,24,66.7,14,11,445,24,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Home,W,2,0,West Ham,50,631,45,156,323,162,29,631,16,28,57.1,12,11,416,33,Match Report
15,2019-12-08,16:30 (18:30),Matchweek 16,Sun,Away,D,2,2,Brighton,39,486,53,154,224,115,27,486,16,21,76.2,16,8,277,17,Match Report
16,2019-12-15,14:00 (16:00),Matchweek 17,Sun,Home,L,1,2,Tottenham,58,651,52,148,299,206,34,651,20,25,80.0,19,13,403,29,Match Report
