,Player,Nation,Pos,Squad,Age,Born,Playing Time | MP,Playing Time | Starts,Playing Time | Min,Playing Time | 90s,Performance | Gls,Performance | Ast,Performance | G-PK,Performance | PK,Performance | PKatt,Performance | CrdY,Performance | CrdR,Per 90 Minutes | Gls,Per 90 Minutes | Ast,Per 90 Minutes | G+A,Per 90 Minutes | G-PK,Per 90 Minutes | G+A-PK,Expected | xG,Expected | npxG,Expected | xAG,Expected | npxG+xAG,Per 90 Minutes | xG,Per 90 Minutes | xAG,Per 90 Minutes | xG+xAG,Per 90 Minutes | npxG,Per 90 Minutes | npxG+xAG,Cmp,Total | Att,Total | Cmp%,Total | TotDist,Total | PrgDist,Short | Cmp,Short | Att,Short | Cmp%,Medium | Cmp,Medium | Att,Medium | Cmp%,Long | Cmp,Long | Att,Long | Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Att,Pass Types | Live,Pass Types | Dead,Pass Types | FK,Pass Types | TB,Pass Types | Sw,Pass Types | Crs,Pass Types | TI,Pass Types | CK,Corner Kicks | In,Corner Kicks | Out,Corner Kicks | Str,Outcomes | Cmp,Outcomes | Off,Outcomes | Blocks,SCA | SCA,SCA | SCA90,SCA Types | PassLive,SCA Types | PassDead,SCA Types | Drib,SCA Types | Sh,SCA Types | Fld,SCA Types | Def,GCA | GCA,GCA | GCA90,GCA Types | PassLive,GCA Types | PassDead,GCA Types | Drib,GCA Types | Sh,GCA Types | Fld,GCA Types | Def,Tackles | Tkl,Tackles | TklW,Tackles | Def 3rd,Tackles | Mid 3rd,Tackles | Att 3rd,Vs Dribbles | Tkl,Vs Dribbles | Att,Vs Dribbles | Tkl%,Vs Dribbles | Past,Blocks | Blocks,Blocks | Sh,Blocks | Pass,Int,Tkl+Int,Clr,Err,Touches | Touches,Touches | Def Pen,Touches | Def 3rd,Touches | Mid 3rd,Touches | Att 3rd,Touches | Att Pen,Touches | Live,Dribbles | Succ,Dribbles | Att,Dribbles | Succ%,Dribbles | Mis,Dribbles | Dis,Receiving | Rec,Receiving | Prog,Playing Time | Mn/MP,Playing Time | Min%,Starts | Mn/Start,Starts | Compl,Subs | Subs,Subs | Mn/Sub,Subs | unSub,Team Success | PPM,Team Success | onG,Team Success | onGA,Team Success | +/-,Team Success | +/-90,Team Success | On-Off,Team Success (xG) | onxG,Team Success (xG) | onxGA,Team Success (xG) | xG+/-,Team Success (xG) | xG+/-90,Team Success (xG) | On-Off,Performance | 2CrdY,Performance | Fls,Performance | Fld,Performance | Off,Crs,TklW,Performance | PKwon,Performance | PKcon,Performance | OG,Performance | Recov,Aerial Duels | Won,Aerial Duels | Lost,Aerial Duels | Won%,Gls,Standard | Sh,Standard | SoT,Standard | SoT%,Standard | Sh/90,Standard | SoT/90,Standard | G/Sh,Standard | G/SoT,Standard | Dist,Standard | FK,Expected | npxG/Sh,Expected | G-xG,Expected | np:G-xG
128,Bjorn Engels,BEL,DF,Aston Villa,24,1994,17,15,1447,16.1,1,0,1,0,0,1,0,0.06,0.0,0.06,0.06,0.06,1.0,0.9,0.3,1.2,0.06,0.02,0.08,0.06,0.07,548,653,83.9,11293,4152,170,191,89.0,301,334,90.1,74,118,62.7,0,0.3,0.2,-0.3,2,46,1,1,35,653,627,24,22,0,6,2,2,0,0,0,0,548,2,2,12,0.75,10,0,0,1,0,1,1,0.06,1,0,0,0,0,0,11,6,8,2,1,8,13,61.5,5,18,17,1,28,39,86,3,819,151,474,317,30,14,819,1,1,100.0,7,2,482,2,85,42.3,89.0,14,2,57.0,4,0.65,20,32,-12,-0.75,-0.11,21.7,32.9,-11.2,-0.7,-0.14,0,5,5,1,2,6,0,2,0,53,54,27,66.7,1.0,8.0,1.0,12.5,0.5,0.06,0.13,1.0,7.8,0.0,0.11,0.0,0.1
129,Christian Eriksen,DEN,"MF,FW",Tottenham,27,1992,20,10,1097,12.2,2,2,2,0,0,5,0,0.16,0.16,0.33,0.16,0.33,1.9,1.9,1.9,3.8,0.15,0.16,0.31,0.15,0.31,563,761,74.0,8861,2703,316,362,87.3,162,226,71.7,57,117,48.7,2,1.9,1.8,0.1,24,51,23,1,55,761,673,84,23,5,5,72,11,47,19,20,0,563,4,13,46,3.77,32,11,0,0,0,3,3,0.25,2,1,0,0,0,0,19,9,10,8,1,7,24,29.2,17,10,1,9,12,31,16,0,872,15,124,448,312,16,872,0,2,0.0,23,14,578,26,55,32.1,87.0,6,10,22.0,3,1.3,20,18,2,0.16,-0.3,14.1,18.2,-4.1,-0.34,-0.26,0,9,6,2,72,9,0,0,0,82,6,10,37.5,2.0,26.0,9.0,34.6,2.13,0.74,0.08,0.22,25.1,7.0,0.07,0.1,0.1
130,Jonny Evans,NIR,DF,Leicester City,31,1988,38,38,3383,37.6,1,1,1,0,0,8,1,0.03,0.03,0.05,0.03,0.05,3.7,3.7,0.7,4.4,0.1,0.02,0.12,0.1,0.12,2178,2518,86.5,43936,15193,618,680,90.9,1333,1454,91.7,219,354,61.9,1,0.7,0.7,0.3,8,131,3,1,115,2518,2430,85,69,1,17,8,16,0,0,0,0,2178,3,7,38,1.01,28,0,1,5,2,2,7,0.19,4,0,0,1,1,1,48,34,33,14,1,28,39,71.8,11,33,18,15,57,105,174,4,2900,341,1444,1363,103,45,2900,6,8,75.0,12,3,1922,1,89,98.9,89.0,35,0,0.0,0,1.63,64,40,24,0.64,-4.23,59.7,45.0,14.7,0.39,-4.54,0,35,27,2,8,34,1,1,1,230,126,70,64.3,1.0,23.0,8.0,34.8,0.61,0.21,0.04,0.13,8.4,0.0,0.16,-2.7,-2.7
132,Fabinho,BRA,MF,Liverpool,25,1993,28,22,2079,23.1,2,3,2,0,0,6,0,0.09,0.13,0.22,0.09,0.22,0.4,0.4,1.6,2.1,0.02,0.07,0.09,0.02,0.09,1381,1593,86.7,23882,5657,588,641,91.7,647,731,88.5,107,153,69.9,3,1.6,1.4,1.4,19,129,19,3,87,1593,1572,19,15,3,6,9,4,0,0,0,0,1381,2,13,51,2.21,45,0,1,1,1,3,5,0.22,5,0,0,0,0,0,62,35,20,35,7,26,67,38.8,41,25,2,23,34,96,19,1,1776,40,350,1142,294,10,1776,9,12,75.0,15,8,1251,23,74,60.8,89.0,21,6,22.0,2,2.46,50,26,24,1.04,-0.84,41.0,25.8,15.2,0.66,-0.41,0,32,20,0,9,35,0,0,0,157,41,28,59.4,2.0,12.0,4.0,33.3,0.52,0.17,0.17,0.5,28.7,2.0,0.04,1.6,1.6
134,Akin Famewo,ENG,MF,Norwich City,20,1998,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0.0,0.0,0,1,1.0,2,0.0,0,0,0,0.0,1.29,0.0,0.1,-0.1,-6.07,-5.29,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,Kiko Femenia,ESP,DF,Watford,28,1991,28,26,2237,24.9,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.4,1.5,0.01,0.06,0.06,0.01,0.06,988,1290,76.6,14191,5742,605,686,88.2,290,407,71.3,58,127,45.7,0,1.4,1.8,-1.4,18,52,27,15,63,1290,1008,281,13,0,10,69,267,1,0,1,0,988,1,25,36,1.45,29,4,2,0,1,0,4,0.16,0,2,1,0,1,0,68,38,49,17,2,43,80,53.8,37,16,2,14,36,104,49,0,1497,55,420,675,420,17,1497,19,32,59.4,21,11,753,37,80,65.4,85.0,20,2,18.0,3,0.86,23,46,-23,-0.93,-0.54,32.4,40.7,-8.3,-0.33,-0.26,0,26,12,1,69,38,1,0,0,150,13,13,50.0,0.0,5.0,1.0,20.0,0.2,0.04,0.0,0.0,27.2,0.0,0.03,-0.1,-0.1
136,Bruno Fernandes,POR,MF,Manchester Utd,24,1994,14,14,1186,13.2,8,7,4,4,4,2,0,0.61,0.53,1.14,0.3,0.83,6.2,3.0,2.5,5.5,0.47,0.19,0.66,0.23,0.42,607,861,70.5,10342,2939,319,369,86.4,199,276,72.1,71,152,46.7,7,2.5,2.3,4.5,30,66,25,2,77,861,758,99,24,8,14,75,5,56,23,22,0,607,4,20,54,4.1,36,10,1,3,3,1,12,0.91,6,3,0,0,3,0,22,12,9,9,4,5,38,13.2,33,6,0,6,11,33,16,0,996,18,98,437,470,38,992,15,21,71.4,29,13,733,75,85,34.7,85.0,7,0,0.0,0,2.29,28,6,22,1.67,1.35,20.8,11.6,9.2,0.7,0.08,0,9,14,2,75,12,2,0,0,67,3,11,21.4,8.0,40.0,14.0,35.0,3.04,1.06,0.1,0.29,24.6,7.0,0.08,1.8,1.0
137,Gedson Fernandes,POR,"MF,DF",Tottenham,20,1999,7,0,68,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.03,0.13,0.16,0.03,0.16,39,53,73.6,461,114,28,32,87.5,7,14,50.0,1,1,100.0,0,0.1,0.1,-0.1,2,2,3,2,3,53,46,7,0,0,0,7,7,0,0,0,0,39,0,3,3,3.97,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,2,0,0,0,2,0.0,2,2,0,2,1,3,0,0,70,1,5,27,38,5,70,2,8,25.0,2,0,46,10,10,2.0,0.0,0,7,10.0,8,1.71,2,1,1,1.32,0.97,2.7,1.6,1.2,1.56,1.76,0,0,2,0,7,0,0,0,0,7,0,1,0.0,0.0,1.0,0.0,0.0,1.32,0.0,0.0,0.0,26.4,0.0,0.03,0.0,0.0
138,Federico Fernandez,ARG,DF,Newcastle Utd,30,1989,32,29,2620,29.1,2,2,2,0,0,8,0,0.07,0.07,0.14,0.07,0.14,1.4,1.4,1.2,2.6,0.05,0.04,0.09,0.05,0.09,929,1246,74.6,17988,7702,354,415,85.3,428,529,80.9,127,246,51.6,2,1.2,0.5,0.8,4,40,6,4,27,1246,1100,141,39,0,11,29,102,0,0,0,0,929,5,21,18,0.62,9,2,2,3,1,1,4,0.14,1,0,0,3,0,0,42,25,30,10,2,23,46,50.0,23,41,28,13,24,66,190,2,1604,253,941,533,145,23,1604,10,16,62.5,21,3,859,4,82,76.6,89.0,28,3,9.0,4,1.25,33,42,-9,-0.31,0.93,30.0,51.8,-21.8,-0.75,0.18,0,17,20,2,29,25,0,0,1,128,60,51,54.1,2.0,15.0,7.0,46.7,0.52,0.24,0.13,0.29,11.5,0.0,0.1,0.6,0.6
139,Fernandinho,BRA,DF,Manchester City,34,1985,30,26,2397,26.6,0,1,0,0,0,9,2,0.0,0.04,0.04,0.0,0.04,1.0,1.0,0.4,1.4,0.04,0.01,0.05,0.04,0.05,2008,2244,89.5,38469,14037,719,773,93.0,1075,1146,93.8,195,272,71.7,1,0.4,1.0,0.6,8,214,12,0,143,2244,2186,52,40,0,22,4,12,0,0,0,0,2008,6,10,32,1.2,26,0,1,4,0,1,6,0.23,6,0,0,0,0,0,50,35,32,16,2,29,48,60.4,19,28,16,12,25,75,82,0,2487,198,894,1489,116,23,2487,13,13,100.0,14,6,1877,4,80,70.1,87.0,21,4,35.0,6,2.07,63,26,37,1.39,-1.25,60.0,26.9,33.0,1.24,-0.76,1,26,17,1,4,35,0,1,1,148,74,47,61.2,0.0,17.0,2.0,11.8,0.64,0.08,0.0,0.0,14.9,0.0,0.06,-1.0,-1.0
140,Roberto Firmino,BRA,FW,Liverpool,27,1991,38,34,2988,33.2,9,8,9,0,0,0,0,0.27,0.24,0.51,0.27,0.51,14.0,14.0,6.5,20.5,0.42,0.2,0.62,0.42,0.62,941,1189,79.1,12229,3146,568,680,83.5,245,293,83.6,39,47,83.0,8,6.5,4.0,1.5,52,74,31,1,86,1189,1154,31,3,8,1,9,15,0,0,0,0,941,4,38,111,3.34,86,0,12,7,2,4,19,0.57,15,0,2,1,0,1,37,19,8,14,15,10,43,23.3,33,34,3,31,7,44,11,1,1546,16,102,693,767,207,1546,52,90,57.8,92,39,1192,219,79,87.4,84.0,14,4,33.0,0,2.61,75,26,49,1.48,0.85,62.2,31.9,30.3,0.91,0.74,0,29,16,6,9,19,0,0,0,136,26,74,26.0,9.0,99.0,38.0,38.4,2.98,1.14,0.09,0.24,13.7,0.0,0.14,-5.0,-5.0
141,John Fleck,SCO,MF,Sheffield Utd,27,1991,30,28,2516,28.0,5,2,5,0,0,8,0,0.18,0.07,0.25,0.18,0.25,3.1,3.1,3.4,6.5,0.11,0.12,0.23,0.11,0.23,842,1164,72.3,13437,4460,427,494,86.4,268,342,78.4,89,198,44.9,2,3.4,3.4,-1.4,39,105,35,7,86,1164,1021,134,29,3,5,149,7,80,55,3,10,842,9,33,85,3.04,56,16,8,2,1,2,6,0.21,5,0,1,0,0,0,36,25,13,14,9,22,64,34.4,42,25,3,22,24,60,26,0,1419,36,211,608,618,37,1419,44,60,73.3,45,17,863,71,84,73.6,87.0,26,2,38.0,0,1.3,26,30,-4,-0.14,-0.54,32.0,40.6,-8.6,-0.31,-0.37,0,25,22,1,149,25,0,0,0,169,13,23,36.1,5.0,31.0,11.0,35.5,1.11,0.39,0.16,0.45,20.1,0.0,0.1,1.9,1.9
142,Phil Foden,ENG,"FW,MF",Manchester City,19,2000,23,9,901,10.0,5,2,5,0,0,0,0,0.5,0.2,0.7,0.5,0.7,3.3,3.3,1.2,4.5,0.33,0.12,0.45,0.33,0.45,446,528,84.5,6109,1111,273,298,91.6,108,133,81.2,27,40,67.5,2,1.2,1.5,0.8,18,24,11,2,24,528,511,16,4,4,8,29,4,8,2,2,0,446,1,11,56,5.59,45,2,4,2,1,2,11,1.1,11,0,0,0,0,0,14,10,4,6,4,6,19,31.6,13,5,0,5,6,20,2,0,629,2,53,241,346,59,629,25,30,83.3,19,15,521,71,39,26.3,76.0,4,14,16.0,13,2.65,34,7,27,2.7,1.27,21.8,9.3,12.5,1.25,-0.3,0,12,13,1,29,10,0,0,0,36,10,18,35.7,5.0,34.0,14.0,41.2,3.4,1.4,0.15,0.36,16.8,0.0,0.1,1.7,1.7
143,Pablo Fornals,ESP,"MF,FW",West Ham,23,1996,36,24,2172,24.1,2,5,2,0,0,3,0,0.08,0.21,0.29,0.08,0.29,2.3,2.3,2.5,4.8,0.1,0.1,0.2,0.1,0.2,678,909,74.6,9935,2578,400,455,87.9,189,255,74.1,53,101,52.5,5,2.5,1.8,2.5,19,61,23,3,61,909,869,39,8,6,13,61,4,19,7,8,0,678,1,32,50,2.07,38,5,1,2,2,2,9,0.37,9,0,0,0,0,0,46,28,21,18,7,19,64,29.7,45,35,1,34,25,71,15,0,1162,15,170,525,488,44,1162,15,33,45.5,40,26,779,105,60,63.5,79.0,7,12,24.0,1,1.08,34,35,-1,-0.04,0.82,31.6,37.8,-6.3,-0.26,0.39,0,18,16,7,61,28,0,0,0,155,10,48,17.2,2.0,36.0,11.0,30.6,1.49,0.46,0.06,0.18,18.1,0.0,0.06,-0.3,-0.3
145,Timothy Fosu-Mensah,NED,DF,Manchester Utd,21,1998,3,2,136,1.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.05,0.07,0.11,0.05,0.11,60,73,82.2,954,239,27,33,81.8,21,26,80.8,6,7,85.7,0,0.1,0.0,-0.1,2,2,1,1,3,73,66,7,0,0,1,2,7,0,0,0,0,60,0,1,3,1.99,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,0,1,0,1,4,25.0,3,0,0,0,4,5,1,0,82,2,18,47,18,2,82,1,2,50.0,2,0,56,2,45,4.0,68.0,1,1,1.0,0,2.33,3,1,2,1.32,0.56,2.7,1.7,1.1,0.72,0.08,0,5,0,1,2,1,0,0,0,7,1,2,33.3,0.0,1.0,0.0,0.0,0.66,0.0,0.0,0.0,11.2,0.0,0.07,-0.1,-0.1
146,Dimitri Foulquier,FRA,"DF,MF",Watford,26,1993,3,1,59,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,12,75.0,135,62,5,6,83.3,4,5,80.0,0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,2,12,11,1,0,0,0,1,1,0,0,0,0,9,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0,1,0,1,2,3,2,0,20,2,8,9,5,0,20,2,2,100.0,2,0,9,0,20,1.7,32.0,0,2,14.0,6,0.33,0,6,-6,-9.15,-8.56,0.3,3.6,-3.3,-5.02,-4.86,0,0,0,0,1,0,0,0,0,4,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,Juan Foyth,ARG,DF,Tottenham,21,1998,4,1,68,0.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,54,65,83.1,834,303,29,33,87.9,22,26,84.6,2,4,50.0,0,0.0,0.0,0.0,1,3,0,0,2,65,55,9,1,0,2,0,8,0,0,0,0,54,1,0,2,2.65,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,7,3,5,2,0,3,4,75.0,1,1,0,1,1,8,3,1,79,8,27,44,8,0,79,2,4,50.0,1,1,43,0,17,2.0,45.0,0,3,8.0,7,1.5,0,3,-3,-3.97,-4.43,0.9,0.6,0.2,0.27,0.45,0,2,1,0,0,3,0,0,0,9,2,1,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,Simon Francis,ENG,DF,Bournemouth,34,1985,15,10,969,10.8,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.4,0.01,0.02,0.03,0.01,0.03,426,567,75.1,7646,2996,201,230,87.4,183,224,81.7,41,98,41.8,0,0.2,0.4,-0.2,4,26,3,2,21,567,524,42,12,0,8,16,30,0,0,0,0,426,1,8,9,0.84,7,0,0,2,0,0,1,0.09,1,0,0,0,0,0,13,9,11,2,0,11,21,52.4,10,17,12,5,20,33,71,0,708,102,371,270,72,12,708,4,7,57.1,4,2,386,6,65,28.3,85.0,9,5,25.0,4,0.67,7,21,-14,-1.3,-0.9,10.5,20.1,-9.6,-0.89,-0.6,1,7,1,0,16,9,0,0,0,62,48,32,60.0,0.0,3.0,0.0,0.0,0.28,0.0,0.0,0.0,12.5,0.0,0.05,-0.1,-0.1
149,Ryan Fraser,SCO,"MF,FW",Bournemouth,25,1994,28,21,2067,23.0,1,4,1,0,0,2,0,0.04,0.17,0.22,0.04,0.22,3.7,3.7,3.9,7.6,0.16,0.17,0.33,0.16,0.33,658,964,68.3,9972,3562,373,438,85.2,210,296,70.9,55,157,35.0,4,3.9,3.6,0.1,44,62,39,8,81,964,832,128,33,2,3,174,16,64,32,20,0,658,4,29,81,3.53,53,18,4,1,4,1,8,0.35,4,3,0,1,0,0,12,6,5,5,2,7,22,31.8,15,15,3,12,15,27,24,0,1122,22,172,402,562,57,1122,12,24,50.0,28,19,783,84,74,60.4,88.0,19,7,30.0,0,0.93,22,34,-12,-0.52,0.34,26.6,38.7,-12.1,-0.53,-0.17,0,10,36,1,174,6,0,0,0,97,6,25,19.4,1.0,27.0,11.0,40.7,1.18,0.48,0.04,0.09,17.2,2.0,0.14,-2.7,-2.7
150,Fred,BRA,MF,Manchester Utd,26,1993,29,23,2163,24.0,0,0,0,0,0,8,0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,2.1,3.8,0.07,0.09,0.16,0.07,0.16,1482,1742,85.1,26846,7368,640,703,91.0,599,665,90.1,196,273,71.8,0,2.1,2.1,-2.1,35,142,14,3,111,1742,1632,108,55,3,17,63,9,42,16,15,0,1482,2,31,95,3.95,69,7,6,3,4,6,2,0.08,2,0,0,0,0,0,60,32,33,22,5,25,100,25.0,75,44,8,36,38,98,32,0,2054,61,432,1168,476,20,2054,40,53,75.5,45,26,1393,30,75,63.2,88.0,21,6,22.0,5,1.66,35,26,9,0.37,-1.13,39.1,25.4,13.7,0.57,-0.21,0,42,36,1,63,32,0,0,0,234,9,19,32.1,0.0,40.0,10.0,25.0,1.66,0.42,0.0,0.0,24.5,3.0,0.04,-1.7,-1.7
151,Ryan Fredericks,ENG,DF,West Ham,26,1992,27,25,2237,24.9,0,3,0,0,0,7,0,0.0,0.12,0.12,0.0,0.12,0.1,0.1,2.6,2.7,0.01,0.1,0.11,0.01,0.11,797,1122,71.0,12092,5291,462,545,84.8,266,375,70.9,55,129,42.6,3,2.6,3.1,0.4,21,48,24,15,58,1122,911,208,4,0,0,59,204,0,0,0,0,797,3,40,47,1.89,42,2,1,0,1,1,4,0.16,4,0,0,0,0,0,82,56,59,18,5,41,64,64.1,23,20,10,10,24,106,73,1,1377,92,458,562,368,28,1377,11,31,35.5,20,12,702,38,83,65.4,88.0,23,2,15.0,1,1.11,35,39,-4,-0.16,0.52,32.7,42.0,-9.3,-0.37,0.08,0,25,21,0,59,56,0,0,0,113,35,36,49.3,0.0,3.0,0.0,0.0,0.12,0.0,0.0,0.0,20.6,0.0,0.05,-0.1,-0.1
152,Kieron Freeman,WAL,FW,Sheffield Utd,27,1992,2,0,7,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,100.0,5,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0.0,0,0,1,0,4,0.2,0.0,0,2,4.0,11,1.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.38,0.59,0,1,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,Luke Freeman,ENG,MF,Sheffield Utd,27,1992,11,3,366,4.1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.02,0.04,0.06,0.02,0.06,112,148,75.7,1479,478,72,80,90.0,26,34,76.5,7,16,43.8,0,0.2,0.6,-0.2,3,11,6,3,11,148,141,7,0,1,1,15,0,7,5,0,0,112,0,6,7,1.72,5,0,0,0,2,0,0,0.0,0,0,0,0,0,0,6,4,2,2,2,2,8,25.0,6,1,0,1,10,16,6,0,200,6,28,71,106,4,200,8,12,66.7,11,13,128,14,33,10.7,73.0,1,8,18.0,13,1.27,5,5,0,0.0,0.0,5.5,4.1,1.5,0.36,0.64,0,6,5,0,15,4,0,0,0,20,4,6,40.0,0.0,3.0,0.0,0.0,0.74,0.0,0.0,0.0,29.5,0.0,0.03,-0.1,-0.1
154,Christian Fuchs,AUT,DF,Leicester City,33,1986,11,8,772,8.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.03,0.01,0.04,0.03,0.04,517,657,78.7,9002,3308,244,268,91.0,213,256,83.2,51,107,47.7,0,0.1,0.3,-0.1,2,42,6,1,36,657,567,88,12,0,2,16,76,0,0,0,0,517,2,11,10,1.17,9,1,0,0,0,0,3,0.35,3,0,0,0,0,0,14,9,8,6,0,8,19,42.1,11,8,3,5,17,31,33,1,747,29,276,370,105,1,747,2,5,40.0,11,2,473,8,70,22.6,90.0,7,3,18.0,5,1.82,15,10,5,0.58,-0.13,15.9,10.3,5.6,0.65,0.28,0,2,0,1,16,9,0,0,0,45,19,18,51.4,0.0,5.0,1.0,20.0,0.58,0.12,0.0,0.0,25.8,2.0,0.05,-0.2,-0.2
155,Eric Garcia,ESP,DF,Manchester City,18,2001,13,8,793,8.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.7,0.06,0.02,0.08,0.06,0.08,680,731,93.0,12072,3792,272,291,93.5,355,368,96.5,45,54,83.3,0,0.2,0.1,-0.2,2,38,1,1,28,731,723,7,6,0,1,1,1,0,0,0,0,680,1,5,5,0.57,5,0,0,0,0,0,1,0.11,1,0,0,0,0,0,6,1,4,2,0,5,9,55.6,4,2,0,2,18,24,33,0,800,51,310,475,18,3,800,6,8,75.0,1,0,649,0,61,23.2,82.0,6,5,27.0,7,2.54,23,7,16,1.82,0.07,20.9,8.0,12.8,1.46,-0.01,0,9,2,0,1,1,0,0,0,38,11,19,36.7,0.0,2.0,1.0,50.0,0.23,0.11,0.0,0.0,7.1,0.0,0.27,-0.5,-0.5
156,James Garner,ENG,MF,Manchester Utd,18,2001,1,0,9,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,14,100.0,206,24,9,9,100.0,4,4,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,14,0,0,1,10.0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,15,1,1,12,3,0,15,0,0,0.0,0,0,13,0,9,0.3,0.0,0,1,9.0,6,3.0,0,1,-1,-10.0,-10.82,0.4,0.1,0.2,2.07,1.43,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,Dwight Gayle,ENG,FW,Newcastle Utd,28,1990,20,10,850,9.4,4,2,4,0,0,2,0,0.42,0.21,0.64,0.42,0.64,4.3,4.3,0.8,5.1,0.46,0.09,0.54,0.46,0.54,103,151,68.2,1269,199,70,94,74.5,16,25,64.0,6,12,50.0,2,0.8,0.3,1.2,6,6,1,1,7,151,138,12,0,0,0,3,2,0,0,0,0,103,1,1,13,1.37,6,0,0,3,3,1,2,0.21,2,0,0,0,0,0,12,10,4,6,2,4,8,50.0,4,5,0,5,2,14,9,0,234,8,23,117,95,30,234,2,3,66.7,20,11,153,37,43,24.9,68.0,2,10,17.0,7,0.8,14,15,-1,-0.11,0.56,11.0,13.6,-2.5,-0.27,0.69,0,6,13,2,3,10,0,0,0,17,21,49,30.0,4.0,23.0,10.0,43.5,2.44,1.06,0.17,0.4,11.9,1.0,0.19,-0.3,-0.3
159,Jean-Philippe Gbamin,CIV,MF,Everton,23,1995,2,1,136,1.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,70,71.4,736,153,25,29,86.2,20,22,90.9,1,8,12.5,0,0.0,0.0,0.0,0,8,0,0,3,70,67,3,3,0,2,0,0,0,0,0,0,50,0,4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,4,3,1,1,2,1,2,50.0,1,1,0,1,1,5,4,0,86,7,19,56,12,0,86,2,3,66.7,2,4,56,3,68,4.0,90.0,1,1,46.0,0,2.0,1,0,1,0.66,1.02,0.9,1.8,-0.9,-0.63,-0.72,0,2,2,0,0,3,0,0,0,8,3,2,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
