,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Home,D,0,0,Everton,21,14,7,11,3,9,14,64.3,5,16,5,11,10,31,24,1,Match Report
1,2019-08-18,14:00 (15:00),Matchweek 2,Sun,Away,L,0,1,Sheffield Utd,21,15,16,2,3,11,20,55.0,9,14,5,9,13,34,24,1,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Away,W,2,1,Manchester Utd,25,13,15,6,4,9,16,56.3,7,15,6,9,16,41,27,0,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,W,1,0,Aston Villa,18,9,10,8,0,1,12,8.3,11,7,4,3,7,25,23,0,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,L,0,4,Tottenham,15,11,4,9,2,5,14,35.7,9,4,1,3,18,33,15,1,Match Report
5,2019-09-22,14:00 (15:00),Matchweek 6,Sun,Home,D,1,1,Wolves,24,9,15,6,3,11,18,61.1,7,12,6,6,14,38,18,1,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,W,2,0,Norwich City,18,10,8,7,3,10,21,47.6,11,15,4,11,8,26,13,0,Match Report
7,2019-10-05,17:30 (18:30),Matchweek 8,Sat,Away,W,2,1,West Ham,10,6,6,4,0,2,8,25.0,6,9,1,8,9,19,18,0,Match Report
8,2019-10-19,17:30 (18:30),Matchweek 9,Sat,Home,L,0,2,Manchester City,13,7,7,4,2,6,22,27.3,16,14,3,11,22,35,28,1,Match Report
9,2019-10-27,16:30 (18:30),Matchweek 10,Sun,Away,D,2,2,Arsenal,14,11,9,5,0,6,14,42.9,8,6,1,5,9,23,30,0,Match Report
10,2019-11-03,14:00 (16:00),Matchweek 11,Sun,Home,L,0,2,Leicester City,19,13,11,7,1,9,15,60.0,6,7,2,5,9,28,13,0,Match Report
11,2019-11-09,12:30 (14:30),Matchweek 12,Sat,Away,L,0,2,Chelsea,19,13,12,5,2,6,19,31.6,13,12,8,4,11,30,23,1,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Home,L,1,2,Liverpool,14,10,8,6,0,10,13,76.9,3,7,4,3,8,22,30,0,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Away,W,2,0,Burnley,15,8,7,8,0,4,13,30.8,9,8,4,4,12,27,35,2,Match Report
14,2019-12-03,19:30 (21:30),Matchweek 15,Tue,Home,W,1,0,Bournemouth,16,8,9,3,4,8,21,38.1,13,7,1,6,12,28,31,0,Match Report
15,2019-12-07,15:00 (17:00),Matchweek 16,Sat,Away,D,0,0,Watford,14,11,10,3,1,8,20,40.0,12,8,6,2,7,21,30,0,Match Report
16,2019-12-16,19:45 (21:45),Matchweek 17,Mon,Home,D,1,1,Brighton,14,7,9,5,0,3,14,21.4,11,10,2,8,14,28,36,1,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Away,L,0,1,Newcastle Utd,18,7,7,7,4,11,19,57.9,8,6,3,3,4,22,15,0,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Home,W,2,1,West Ham,16,10,10,4,2,11,27,40.7,16,10,3,7,13,29,19,0,Match Report
19,2019-12-28,15:00 (17:00),Matchweek 20,Sat,Away,D,1,1,Southampton,16,10,11,3,2,10,28,35.7,18,11,5,6,12,28,34,1,Match Report
20,2020-01-01,17:30 (19:30),Matchweek 21,Wed,Away,D,1,1,Norwich City,16,3,8,4,4,8,17,47.1,9,5,3,2,11,27,9,0,Match Report
21,2020-01-11,12:30 (14:30),Matchweek 22,Sat,Home,D,1,1,Arsenal,25,16,9,13,3,13,20,65.0,7,15,1,14,14,39,12,0,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Away,D,2,2,Manchester City,18,13,14,3,1,6,21,28.6,15,13,9,4,8,26,47,0,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Home,L,0,2,Southampton,20,14,10,9,1,10,24,41.7,14,12,3,9,21,41,18,0,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Home,L,0,1,Sheffield Utd,14,7,8,3,3,5,16,31.3,11,12,4,8,10,24,11,1,Match Report
25,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,,,,,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
27,2020-02-08,12:30 (14:30),Matchweek 26,Sat,Away,L,1,3,Everton,15,10,6,7,2,6,18,33.3,12,9,2,7,9,24,23,0,Match Report
28,2020-02-22,15:00 (17:00),Matchweek 27,Sat,Home,W,1,0,Newcastle Utd,22,13,7,12,3,13,28,46.4,15,13,3,10,17,39,16,0,Match Report
29,2020-02-29,12:30 (14:30),Matchweek 28,Sat,Away,W,1,0,Brighton,23,13,17,3,3,5,17,29.4,12,9,5,4,9,32,37,1,Match Report
30,2020-03-07,15:00 (17:00),Matchweek 29,Sat,Home,W,1,0,Watford,21,11,11,8,2,9,13,69.2,4,9,5,4,13,34,33,0,Match Report
31,2020-06-20,19:45 (20:45),Matchweek 30,Sat,Away,W,2,0,Bournemouth,26,10,16,8,2,17,30,56.7,13,13,4,9,13,39,21,0,Match Report
32,2020-06-24,20:15 (21:15),Matchweek 31,Wed,Away,L,0,4,Liverpool,20,13,14,6,0,9,16,56.3,7,12,4,8,16,36,37,1,Match Report
33,2020-06-29,20:00 (21:00),Matchweek 32,Mon,Home,L,0,1,Burnley,13,10,6,5,2,8,17,47.1,9,7,1,6,7,20,16,1,Match Report
34,2020-07-04,15:00 (16:00),Matchweek 33,Sat,Away,L,0,3,Leicester City,18,8,6,10,2,10,16,62.5,6,19,5,14,7,25,5,3,Match Report
35,2020-07-07,18:00 (19:00),Matchweek 34,Tue,Home,L,2,3,Chelsea,19,11,10,6,3,9,22,40.9,13,13,2,11,14,33,19,0,Match Report
36,2020-07-12,14:15 (15:15),Matchweek 35,Sun,Away,L,0,2,Aston Villa,15,8,8,6,1,6,14,42.9,8,8,2,6,9,24,15,0,Match Report
37,2020-07-16,20:15 (21:15),Matchweek 36,Thu,Home,L,0,2,Manchester Utd,26,11,10,15,1,16,33,48.5,17,14,3,11,16,42,19,0,Match Report
38,2020-07-20,20:15 (21:15),Matchweek 37,Mon,Away,L,0,2,Wolves,13,5,6,5,2,7,23,30.4,16,10,3,7,12,25,20,1,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,D,1,1,Tottenham,22,12,10,8,4,9,18,50.0,9,8,2,6,10,32,12,0,Match Report
40,,,,,,11-10-17,31,50,,686,390,367,244,75,316,711,44.4,395,399,135,264,444,1130,856,18,
